longitude,latitude,Ve_est_myr,Vn_est_myr,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
123.40367963,5.73342823,0.03426883,0.0088607,79.36901246,-13.20094271,-13.1564821,66.16806975,48.11852212,82.58263177,81.202557,-15.03448724,97.93388716,High
123.45566555,5.73342823,0.03473048,0.00910699,81.90532722,-12.89285116,-12.19031226,69.01247606,48.94157097,84.68716351,83.447809,-14.43533294,97.21150623,High
123.50765148,5.73342823,0.0352067,0.00935928,84.43803295,-12.51632661,-11.06397274,71.92170634,49.72372122,86.78284868,85.68457439,-13.76286805,96.42821913,High
123.55963741,5.73342823,0.03569736,0.00961754,86.9232752,-12.05715327,-9.74992699,74.86612193,50.44147481,88.83216123,87.87453578,-13.00841385,95.57247832,High
123.61162334,5.73342823,0.03620203,0.00988167,89.30089171,-11.49855535,-8.21666555,77.80233636,51.0651126,90.7848733,89.96628078,-12.16394442,94.62973388,High
123.66360926,5.73342823,0.03671991,0.01015148,91.48917936,-10.82074367,-6.42820033,80.6684357,51.55726764,92.57430504,91.89148549,-11.2230498,93.58116079,High
123.71559519,5.73342823,0.03724964,0.0104267,93.37783552,-10.00039014,-4.34358744,83.37744538,51.87129396,94.11249372,93.56001665,-10.18257127,92.40172335,High
123.76758112,5.73342823,0.03778915,0.01070686,94.81838625,-9.01004238,-1.91658073,85.80834387,51.94958065,95.28406896,94.85375259,-9.04540872,91.05714918,High
123.81956705,5.73342823,0.03833538,0.01099132,95.61116926,-7.81751988,0.9043868,87.79364938,51.72225198,95.93875721,95.61907667,-7.82542729,89.49905326,High
123.87155297,5.73342823,0.03888397,0.01127915,95.48765124,-6.38539315,4.17552573,89.10225809,51.10738018,95.88292244,95.65850923,-6.55625113,87.65682607,High
123.9235389,5.73342823,0.03942878,0.01156902,94.08659386,-4.67076439,7.95564693,89.41582947,50.01546031,94.87195486,94.72337504,-5.30754557,85.4237213,High
123.97552483,5.73342823,0.03996132,0.01185913,90.92254029,-2.62579008,12.30155809,88.29675021,48.36476879,92.60917756,92.51314389,-4.21639369,82.63247626,High
124.02751075,5.73342823,0.0404699,0.01214695,85.3457821,-0.19979209,17.25883243,85.14599001,46.12351475,88.76754493,88.69650975,-3.55051974,79.01295472,High
124.07949668,5.73342823,0.04093859,0.01242908,76.49552332,2.65549687,22.84452086,79.15102019,43.41612039,83.08044907,82.99163048,-3.84061029,74.12627738,High
124.13148261,5.73342823,0.04134583,0.01270086,63.25463836,5.97491832,29.01655215,69.22955668,40.77011014,75.63576879,75.38488848,-6.1553318,67.31283468,Moderate
124.18346854,5.73342823,0.0416629,0.01295614,44.22885323,9.75912507,35.62297416,53.9879783,39.57318319,67.74529176,66.56717234,-12.57919404,57.90915432,Moderate
124.23545446,5.73342823,0.04185228,0.01318684,17.79880133,13.93947383,42.32549002,31.73827516,42.36945489,63.98437677,58.23859247,-26.50031731,46.30518373,Moderate
124.28744039,5.73342823,0.04186671,0.01338279,-17.67399756,18.32712961,48.50259258,0.65313206,51.73511164,73.16595413,52.06167767,-51.40854561,34.8194053,Moderate
124.33942632,5.73342823,0.0416499,0.01353189,-63.39588104,22.55779363,53.16870905,-40.83808741,68.36607469,100.90448469,47.94703099,-88.7851184,25.52550978,High
124.39141225,5.73342823,0.04114078,0.01362098,-119.43382294,26.07025379,54.99965154,-93.36356916,91.20208745,144.89313143,44.52030287,-137.88387203,18.5444174,High
124.44339817,5.73342823,0.0402823,0.01363774,-183.97415513,28.18231989,52.58895853,-155.79183524,118.39844185,200.42936419,40.50252423,-196.29435947,13.18510301,Very High
124.4953841,5.73342823,0.03903415,0.01357342,-253.04692726,28.29984961,44.96495218,-224.74707766,147.68496585,262.44489466,35.31142702,-260.05850468,8.86299995,Very High
124.54737003,5.73342823,0.03738474,0.01342539,-321.17809543,26.17700256,32.12796797,-295.00109287,176.62416978,325.4305104,29.12362335,-324.12471621,5.24022971,Very High
124.59935595,5.73342823,0.03535644,0.01319824,-382.84568411,22.03936243,15.18146088,-360.80632169,203.01096518,384.08007609,22.60780434,-383.41412602,2.14433345,Very High
124.65134188,5.73342823,0.0330009,0.01290278,-433.93570922,16.46270422,-4.10697323,-417.473005,225.23665318,434.2867196,16.50015068,-433.97315568,179.4776044,Very High
