longitude,latitude,Ve_kriging_myr,Vn_kriging_myr,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method
124.412,6.858,-0.00605851,0.00425425,-6.05850574,4.25424686,7.40297968,Ordinary Kriging
126.069,8.461,-0.03409777,0.01796618,-34.09777451,17.96618296,38.54143169,Ordinary Kriging
125.999,8.828,-0.0391359,0.02166573,-39.13590322,21.66573217,44.73279414,Ordinary Kriging
126.061,9.016,-0.04253544,0.02387349,-42.53543997,23.87348731,48.77711605,Ordinary Kriging
126.272,8.875,-0.04095402,0.0227485,-40.95401823,22.74849888,46.84790082,Ordinary Kriging
125.835,9.391,-0.04875727,0.02796866,-48.75727188,27.96865687,56.20958395,Ordinary Kriging
125.264,8.641,-0.02890582,0.01609195,-28.90582017,16.09195,33.08318749,Ordinary Kriging
125.381,8.367,-0.02690203,0.01334145,-26.90203351,13.3414534,30.02854951,Ordinary Kriging
125.24,8.265,-0.02392614,0.01137136,-23.92614177,11.37136237,26.49090678,Ordinary Kriging
124.939,6.452,-0.00423713,0.00653828,-4.23713414,6.53827524,7.79117121,Ordinary Kriging
124.904,6.717,-0.01298689,0.00456659,-12.9868917,4.56658774,13.76637496,Ordinary Kriging
124.9,6.917,-0.01742455,0.00368134,-17.42454977,3.68134112,17.80918884,Ordinary Kriging
124.678,6.866,-0.01293579,0.00378313,-12.93578802,3.7831312,13.47763679,Ordinary Kriging
124.732,7.499,-0.018895,0.00370774,-18.89499625,3.70774388,19.25534336,Ordinary Kriging
124.427,8.578,-0.01757136,0.01135521,-17.57135635,11.35521323,20.92112405,Ordinary Kriging
123.638,8.406,-0.00840727,0.00804397,-8.40726598,8.04396943,11.63561624,Ordinary Kriging
123.223,7.867,-0.00142597,0.00502448,-1.42596856,5.02447705,5.22290685,Ordinary Kriging
121.941,7.186,0.01025047,0.00232495,10.25046973,2.32494847,10.51082846,Ordinary Kriging
122.176,7.812,0.00441465,0.0042615,4.41465276,4.26149569,6.13591921,Ordinary Kriging
122.291,7.56,0.00626093,0.00349731,6.26093388,3.49731236,7.17150519,Ordinary Kriging
123.03,8.277,-0.00252369,0.0065956,-2.52368762,6.59560295,7.06193865,Ordinary Kriging
121.927,6.581,0.01680588,0.00245102,16.80587884,2.45102294,16.98367089,Ordinary Kriging
121.044,6.01,0.02167849,0.00353581,21.67849046,3.53581483,21.96494788,Ordinary Kriging
121.497,6.143,0.02113296,0.00328671,21.13296385,3.286714,21.38702059,Ordinary Kriging
121.966,6.174,0.02163455,0.00343375,21.63455175,3.4337527,21.90535293,Ordinary Kriging
120.176,5.212,0.02533509,0.00425444,25.33508916,4.25443533,25.68982216,Ordinary Kriging
120.708,5.345,0.02558999,0.00416272,25.58999284,4.16272476,25.92635746,Ordinary Kriging
120.856,5.697,0.02366985,0.00386038,23.66985202,3.86038489,23.98258673,Ordinary Kriging
126.087,9.958,-0.05522684,0.03172997,-55.22683608,31.7299674,63.69296864,Ordinary Kriging
125.438,5.658,0.00022517,0.00869727,0.2251693,8.69726878,8.70018306,Ordinary Kriging
125.547,6.002,-0.01058351,0.00720191,-10.58351484,7.20191345,12.80149772,Ordinary Kriging
125.555,6.393,-0.01856275,0.0058254,-18.56275271,5.82540272,19.45536186,Ordinary Kriging
125.704,6.135,-0.01520145,0.00688331,-15.20144969,6.88331228,16.68724246,Ordinary Kriging
125.242,5.775,0.0023533,0.00869618,2.35330254,8.69618111,9.00897324,Ordinary Kriging
125.61287,7.071865,-0.030514,-0.001609,-30.514,-1.609,30.55639175,GNSS_station
126.353881,8.189172,-0.030676,0.020573,-30.676,20.573,36.93596222,GNSS_station
124.247033,7.199604,-0.018728,-0.0109,-18.728,-10.9,21.66905591,GNSS_station
125.643405,7.12649,-0.033938,0.001547,-33.938,1.547,33.97324025,GNSS_station
125.78325,7.459377,-0.028942,0.001029,-28.942,1.029,28.96028669,GNSS_station
123.344293,8.586842,-0.004534,0.006393,-4.534,6.393,7.83757647,GNSS_station
125.131662,6.064912,-0.011248,-0.007755,-11.248,-7.755,13.66226661,GNSS_station
124.495597,6.061264,0.06,0.06,60.0,60.0,84.85281374,GNSS_station
125.058743,7.856279,-0.01701,0.000685,-17.01,0.685,17.02378703,GNSS_station
125.493698,9.791809,-0.06,0.06,-60.0,60.0,84.85281374,GNSS_station
124.676244,6.693486,-0.012843,-0.007989,-12.843,-7.989,15.12503785,GNSS_station
124.75503,8.525923,-0.016807,0.007329,-16.807,7.329,18.33547081,GNSS_station
122.065042,6.92865,0.011778,-0.006731,11.778,-6.731,13.56567894,GNSS_station
