point_id,site,location,longitude,latitude,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
87,,,125.19006471,7.54169367,-22.98370688,4.8704385,23.49408337,Ordinary Kriging,419.75033573,-8.40114563,-184.90638563,411.3491901,282.87593428,494.61264287,488.55052933,-77.20133923,110.40928881,Very High
88,,,123.73687326,6.87721592,6.88491698,4.87767925,8.43764402,Ordinary Kriging,403.11952159,-17.91829422,-164.19451175,385.20122737,266.97949036,465.55997394,459.58010405,-74.37887668,108.97624934,Very High
89,,,125.75943658,8.17681108,-29.4580476,13.28278457,32.31422186,Ordinary Kriging,-7.73173948,67.1998163,-67.44426428,59.46807682,77.1518846,116.93182918,106.88592301,-47.41784619,149.52624459,High
90,,,124.9636607,8.27769017,-20.13390006,10.14147654,22.54381241,Ordinary Kriging,122.50665267,-75.23765111,86.19622439,47.26900155,131.16970503,188.48915696,154.80420581,-107.53520425,69.45912618,High
91,,,125.70660415,8.68373955,-34.82275691,18.90226132,39.62221449,Ordinary Kriging,36.10569171,119.78592708,-105.58525423,155.89161879,113.57306617,194.80446894,191.51887556,-35.62725677,145.80843323,High
92,,,125.90091251,8.65439755,-35.83548164,19.36917998,40.73508165,Ordinary Kriging,117.3273426,20.95354958,-64.12565956,138.28089219,80.2126998,149.76300274,149.3531459,-11.07225371,116.53857876,High
93,,,123.0925252,8.40931802,-3.64158782,7.2992997,8.1572629,Ordinary Kriging,-125.25567344,-70.76780701,102.77206774,-196.02348045,106.32182186,204.50247444,8.31008163,-204.33356209,37.57645505,Very High
94,,,125.67420771,8.0167092,-27.91045726,11.06706073,30.02454758,Ordinary Kriging,79.15829255,-129.85479235,53.18922578,-50.6964998,117.26342633,169.66581817,91.91517642,-142.61167623,76.51295549,High
95,,,123.94820392,7.41482345,-8.90774481,3.3724224,9.52476511,Ordinary Kriging,-238.58090892,28.38108861,-8.84512812,-210.19982032,133.77373928,240.58846372,28.67382913,-238.87364944,178.10441679,Very High
96,,,125.13699491,8.22905115,-22.14794374,10.42855487,24.48032207,Ordinary Kriging,-127.29701816,-199.44683139,253.53621279,-326.74384955,256.08984768,429.58676862,92.7179229,-419.46177245,49.04904312,Very High
97,,,122.65066246,8.10391014,0.42012995,5.58949988,5.60526699,Ordinary Kriging,-109.94577946,6.08925019,17.89904459,-103.85652927,60.7157955,112.9863044,8.78753086,-112.64406014,8.57278631,High
98,,,124.23060447,7.43764038,-14.67465943,2.96181679,14.97057074,Ordinary Kriging,152.06623064,-33.94470272,13.89021159,118.12152792,94.0369864,157.04221502,153.09775035,-34.97622244,85.75287696,High
99,,,125.52291867,7.83654391,-26.0592945,8.41933365,27.38561683,Ordinary Kriging,-101.81468328,77.83307963,57.97507425,-23.98160366,106.90855398,152.13952966,94.91775215,-118.89935581,16.41971621,High
100,,,126.07393284,7.40708599,-30.523921,8.38138262,31.65370954,Ordinary Kriging,-11.64075406,67.93308435,32.64372959,56.2923303,51.4646677,82.95563433,79.61083285,-23.31850255,19.68382046,High
101,,,126.312,7.124,-30.00963565,8.8215541,31.27935499,Ordinary Kriging,500.0,-500.0,500.0,500.0,500.0,500.0,500.0,-500.0,73.18716313,Very High
102,,,125.796,8.093,-29.2724462,12.59000777,31.86509693,Ordinary Kriging,105.22107626,-47.56212229,-79.07876597,57.65895397,109.9505692,160.74990769,138.78004619,-81.12109222,112.99510394,High
103,,,125.561,7.851,-26.49182435,8.75940615,27.9024005,Ordinary Kriging,-101.81468328,77.83307963,57.97507425,-23.98160366,106.90855398,152.13952966,94.91775215,-118.89935581,16.41971621,High
104,,,125.788,7.812,-28.61536259,9.67331122,30.20615709,Ordinary Kriging,139.37705454,89.46272075,-128.43244854,228.83977529,130.83483488,245.80343654,245.25472253,-16.41494724,129.50162755,Very High
105,,,125.608,7.632,-27.51682231,7.05241407,28.40619746,Ordinary Kriging,-16.36175403,-100.63893711,96.85967654,-117.00069115,105.62886839,170.76151949,47.12852282,-164.12921396,56.75567216,High
106,,,126.46,7.648,-31.50243771,12.53359688,33.90419786,Ordinary Kriging,42.36585171,54.31074926,-67.18517878,96.67660098,67.45011781,117.35509947,115.78841829,-19.11181732,137.53998707,High
107,,,126.085,7.616,-30.34160263,9.88422537,31.91098183,Ordinary Kriging,-46.75773741,93.26952823,19.40624291,46.51179082,72.65336224,107.88278561,95.90925765,-49.39746683,7.74610309,High
108,,,124.584,7.218,-17.26683319,2.90032773,17.50872438,Ordinary Kriging,-124.91786634,11.69036687,-19.84204894,-113.22749947,71.12776709,128.56341556,14.51401735,-127.74151682,171.90082436,High
109,,,124.412,6.858,-6.05850574,4.25424686,7.40297968,Ordinary Kriging,-500.0,133.17393611,268.69810904,-500.0,500.0,500.0,180.98479307,-500.0,10.08934212,Very High
110,,,126.069,8.461,-34.09777451,17.96618296,38.54143169,Ordinary Kriging,137.03495092,27.36661256,-73.72977427,164.40156348,91.88506801,174.35500705,174.08584975,-9.68428627,116.68057494,High
111,,,125.999,8.828,-39.13590322,21.66573217,44.73279414,Ordinary Kriging,-89.56591552,-164.39524163,144.54860567,-253.96115715,149.31227817,277.19388069,22.33169959,-276.29285674,52.25591661,Very High
112,,,126.061,9.016,-42.53543997,23.87348731,48.77711605,Ordinary Kriging,-151.85530967,-64.85872969,102.03365059,-216.71403937,110.91874091,219.29072392,2.56172122,-219.27576059,33.45540474,Very High
113,,,126.272,8.875,-40.95401823,22.74849888,46.84790082,Ordinary Kriging,500.0,-500.0,-335.41934312,500.0,500.0,500.0,500.0,-500.0,91.64557033,Very High
114,,,125.835,9.391,-48.75727188,27.96865687,56.20958395,Ordinary Kriging,-133.54955925,-68.77314498,108.026324,-202.32270423,112.77713703,214.25359647,11.61578492,-213.93848915,36.65516866,Very High
115,,,125.264,8.641,-28.90582017,16.09195,33.08318749,Ordinary Kriging,-123.83722387,-59.00254067,122.53946042,-182.83976454,126.75489496,221.01763853,35.33501269,-218.17477723,37.59103673,Very High
116,,,125.381,8.367,-26.90203351,13.3414534,30.02854951,Ordinary Kriging,-286.58501803,-306.8298198,308.44127663,-500.0,308.60732999,500.0,11.89991108,-500.0,45.93982682,Very High
117,,,125.24,8.265,-23.92614177,11.37136237,26.49090678,Ordinary Kriging,-127.29701816,-199.44683139,253.53621279,-326.74384955,256.08984768,429.58676862,92.7179229,-419.46177245,49.04904312,Very High
118,,,124.939,6.452,-4.23713414,6.53827524,7.79117121,Ordinary Kriging,-178.13847145,83.35958502,173.01687452,-94.77888643,216.8643522,313.92963091,169.47490898,-264.25379541,26.46081072,Very High
119,,,124.904,6.717,-12.9868917,4.56658774,13.76637496,Ordinary Kriging,-493.61764532,-24.08374392,-77.31145206,-500.0,247.16913594,500.0,-11.68155868,-500.0,170.88634624,Very High
120,,,124.9,6.917,-17.42454977,3.68134112,17.80918884,Ordinary Kriging,-132.21481171,36.65790979,59.00745311,-95.55690192,103.01154566,160.58741492,55.23309471,-150.78999662,17.47368275,High
121,,,124.678,6.866,-12.93578802,3.7831312,13.47763679,Ordinary Kriging,-370.71818045,33.66168791,162.80163662,-337.05649254,259.58648341,437.69147161,91.05823714,-428.11472968,19.42036278,Very High
122,,,124.732,7.499,-18.89499625,3.70774388,19.25534336,Ordinary Kriging,70.15384165,-27.14847902,39.86252879,43.00536263,62.89639579,94.00342448,84.3990771,-41.39371448,70.33519095,High
123,,,124.427,8.578,-17.57135635,11.35521323,20.92112405,Ordinary Kriging,28.97996756,68.49189634,-89.1120165,97.47186391,91.2756792,146.33140932,140.01161115,-42.53974725,141.25009375,High
124,,,123.638,8.406,-8.40726598,8.04396943,11.63561624,Ordinary Kriging,-77.77964238,51.45600613,-96.30611603,-26.32363625,115.97556293,165.06704488,102.8137448,-129.13738105,151.93007139,High
125,,,123.223,7.867,-1.42596856,5.02447705,5.22290685,Ordinary Kriging,240.75850958,2.08567019,-111.4714447,242.84417977,163.30053291,287.7859898,284.7226228,-41.87844303,111.52417628,Very High
126,,,121.941,7.186,10.25046973,2.32494847,10.51082846,Ordinary Kriging,67.39113678,1.96967546,-50.21859594,69.36081224,59.93245597,97.92476548,94.61286209,-25.25204985,118.46055546,High
127,,,122.176,7.812,4.41465276,4.26149569,6.13591921,Ordinary Kriging,-129.83266073,-30.50982977,70.20518878,-160.3424905,85.99432957,166.26757521,5.82308433,-166.16557482,27.36267775,High
128,,,122.291,7.56,6.26093388,3.49731236,7.17150519,Ordinary Kriging,-78.75538716,16.12689037,-8.60659962,-62.62849679,48.21550792,81.30580984,16.90125953,-79.52975632,174.85872001,High
129,,,123.03,8.277,-2.52368762,6.59560295,7.06193865,Ordinary Kriging,-127.90783889,16.05237814,25.0397187,-111.85546075,76.21104602,133.68645825,20.28331564,-132.13877639,9.59062566,High
130,,,121.927,6.581,16.80587884,2.45102294,16.98367089,Ordinary Kriging,168.4642111,3.13951334,79.2728073,171.60372444,114.53052824,202.38182457,200.33239046,-28.72866602,68.09955502,Very High
